name,ra,dec,err_ellipse_r0,significance,hard_hs,hard_hm,hard_ms,flux_aper_b,flux_aper_s,flux_aper_m,flux_aper_h,extent_flag,var_flag,glon,glat,simbad_otype,simbad_id,source_class
2CXO J053502.4-052046,83.76013846331966,-5.346300006170557,0.29750090306594207,71.36461145549639,-0.38600874453467,-0.27857589006871,-0.11992504684572,5.2054876316324e-14,1.276143199811e-14,1.6283082031471e-14,2.3062658850506e-14,False,True,208.94179431330156,-19.416324911751417,Or*,[H97b] 223b,other
2CXO J082706.1-070845,126.77567762102541,-7.146002333790857,0.2964192915264109,71.34362623696266,-0.28732042473454,0.032479700187383,-0.31730168644597,4.5458157635449e-12,1.4236288497369e-12,8.1473264675521e-13,2.3405727660471e-12,True,False,230.8986735127654,17.53420474795709,BLL,PMN J0827-0708,AGN
2CXO J053523.6-052457,83.84865739453511,-5.415941313540477,0.29417992252163727,71.30169750250576,-0.63085571517801,-0.34478450968145,-0.36477201748907,1.2909813524584e-14,5.2976078337421e-15,3.7711311132688e-15,3.868174921322e-15,True,True,209.04990422727928,-19.369235141280008,Or*,JW  741,other
2CXO J123752.7+621628,189.4697233623914,62.274511151241605,0.30485635207186257,71.29799142536478,0.079950031230481,0.16114928169894,-0.082448469706433,3.4117647041866e-14,5.6799531348691e-15,5.6404125611741e-15,2.2827902354694e-14,True,True,125.6659853326776,54.781704070855554,Sy1,SDSS J123752.73+621628.1,AGN
2CXO J102402.4-574436,156.01008333217123,-57.74335081282161,0.29408356849993716,71.2972099294631,0.34103685196752,0.20112429731418,0.14990630855715,2.7324836601003e-13,2.5392506348708e-14,5.1369630047965e-14,1.9755363384846e-13,False,True,284.264183794049,-0.3156828539415495,*,[VKB2013] 919,stellar
2CXO J141946.3+525942,214.94322361651348,52.995180091674115,0.2950456927213986,71.24583681359502,-0.8682073703935,-0.41973766396002,-0.70580886945659,8.915301545023e-14,6.2581391738521e-14,1.2644130475254e-14,1.243664404129e-14,True,True,96.56043873997217,59.37396739743575,*,2MASS J14194634+5259424,stellar
2CXO J054141.3-015332,85.42230937774286,-1.8924440971143908,0.29387469307473385,71.2455072274081,0.98813241723923,0.90068707058089,0.79325421611493,1.8269365578594e-12,2.7989019769162e-15,3.7297937434171e-14,1.8176399770769e-12,True,False,206.51886983068903,-16.356095518649617,Y*O,2MASS J05414134-0153326,stellar
2CXO J053531.2-052339,83.88020193118535,-5.394436152542547,0.29560548571871226,71.21227478590569,0.081199250468457,0.011242973141786,0.071205496564647,2.4405791852518e-14,2.9697665904663e-15,6.2201931957463e-15,1.5444314896822e-14,False,True,209.04462692851473,-19.331500436348918,TT*,V* V2498 Ori,stellar
2CXO J104354.1-593325,160.97564366595918,-59.55719904981618,0.3246213121799193,71.20460305737684,-0.16739537788882,-0.0037476577139288,-0.15865084322299,2.8412409438312e-15,4.6440118153188e-16,7.8974365597177e-16,1.7570611899868e-15,False,True,287.40800573283923,-0.5855478530039788,,,
2CXO J104354.9-593331,160.97886003278995,-59.55867999288634,0.30350537536831906,71.20236772480327,-0.26108682073704,-0.026233603997502,-0.23485321673954,9.2412792645425e-15,1.9167048449081e-15,2.4081239473287e-15,5.1426075899496e-15,False,True,287.41014036164773,-0.5860888801160243,*,[HSB2012] 1472,stellar
2CXO J104352.8-593220,160.96995379950988,-59.539126949099106,0.30635558942993285,71.16338220996096,-0.49968769519051,-0.22985633978763,-0.29606495940037,1.1157656175345e-14,4.3249611749404e-15,3.272666876832e-15,4.5114475076479e-15,False,True,287.3969634201799,-0.5709534595666591,*,[HSB2012] 1407,stellar
2CXO J003704.0-010908,9.26712668931134,-1.152345781825674,0.2939389782452957,71.11333231184743,0.63585259212992,0.49094316052467,0.20986883198001,6.7266727068104e-13,3.0900216573405e-14,6.6752694222566e-14,5.83088579006e-13,True,True,114.77585864600672,-63.7963086712869,ClG,[YSS2008] 529,other
2CXO J163905.4-464212,249.77283728391467,-46.70356797066068,0.29829370359017787,71.08270050716048,0.99687695190506,0.99063085571518,0.33728919425359,9.816424917853e-12,2.3449619694994e-15,9.1821724351949e-15,9.9315099322233e-12,False,True,338.00163904078113,0.07511565142006178,NIR,2MASS J16390535-4642137,other
2CXO J140303.9+542735,210.76640897087054,54.45972721615784,0.30342755024851453,71.02114031691872,0.073703935040599,0.14990630855715,-0.077451592754529,5.5797516431022e-13,8.3043256590903e-14,1.0695817155038e-13,3.7249085992417e-13,True,True,102.19154714090865,59.68964375845385,HXB,CXO J140303.9+542734,stellar
2CXO J053529.1-052910,83.87130064431989,-5.486284922207738,0.3074790606507095,71.01135013475147,-0.27482823235478,-0.2211118051218,-0.056214865708932,4.6014409681888e-14,1.0823146103024e-14,1.4802916485848e-14,2.1030299810187e-14,True,True,209.12721908868625,-19.380923189003344,TT*,V* V1550 Ori,stellar
2CXO J053519.2-052250,83.83005138792214,-5.380741488616644,0.2940193149429774,70.9988675857686,0.067457838850718,-0.041224234853217,0.10868207370393,6.7950050866921e-14,8.9100974552119e-15,1.8955619905407e-14,4.0655765197258e-14,True,True,209.00774638153388,-19.369835929677436,Y*O,MLLA  530,stellar
2CXO J150052.0+015454,225.2169540606999,1.9149469359263307,0.30383202318648317,70.92601722462099,-0.80699562773267,-0.49968769519051,-0.51467832604622,9.6858882921507e-14,5.2243994332722e-14,2.1721647839135e-14,2.2723507727875e-14,True,True,359.3439075439221,50.05068469321603,G,SDSS J150052.07+015453.8,AGN
2CXO J104356.4-593206,160.985116663491,-59.535083508222634,0.4500661276382464,70.92060334183253,-0.99937539038101,0.22236102435978,-0.99937539038101,0.0,0.0,1.5372863043337e-16,6.327828293312e-17,False,True,287.4018478180176,-0.5637709410506473,Y*O,PCYC 381,stellar
2CXO J174540.4-290430,266.4183890539432,-29.074951707492446,0.2942441410070149,70.80515775555355,0.98313554028732,0.98813241723923,-0.1474078700812,1.6504172216267e-13,1.7018662859951e-16,2.8909125853389e-16,1.6665821120796e-13,True,True,359.88765277135917,-0.0823023320843112,X,2XMM J174540.4-290429,other
2CXO J112117.3-344650,170.3223586921623,-34.78052448501149,0.2944687954170602,70.790794336837,-0.65958775765147,-0.19862585883823,-0.53216739537789,2.6550923953884e-12,1.2817245614214e-12,5.3308347133121e-13,8.426375569997e-13,True,True,282.687998518915,24.522617088510433,TT*,CD-34  7390B,stellar
2CXO J174540.7-290035,266.419945916031,-29.00990556608263,0.30561461802330003,70.78546814815573,0.94316052467208,0.99937539038101,-0.99937539038101,2.3735921530809e-15,4.4005230199229e-18,0.0,2.4852573766268e-15,False,True,359.9438853321796,-0.04957991635639572,*,[SME2009] 2714,stellar
2CXO J004735.2-251511,11.896857233701667,-25.253399153853312,0.2940032493596081,70.67676513349252,0.091193004372267,0.073703935040599,0.017489069331668,2.7179992349763e-13,3.6511848205295e-14,6.3404447807046e-14,1.744489729927e-13,True,True,97.98137926804048,-87.93576037035032,X,RX J004735.0-251511,other
